framework,plaintext,json,1-query,fortunes,20-query,20-updates
xitca-web,6940541,1181371,640983,595513,34083,24165
axum,3767719,771807,540647,433376,34332,23943
mormot,6983598,1108230,368811,328795,32704,20246
workerman,1138256,804200,350214,278056,18128,14184
go-std,731196,558153,300645,264062,18247,7798
swoole,902165,751914,314121,233967,16797,5632
php,910316,662655,131061,117266,15193,4503
chi,613375,446449,236127,148723,15850,2265
gin,678293,406784,183520,94951,13077,2215
laravel,80754,77274,37159,22518,4656,1676
